Attempt,Authentication_Method,Tampered_Parameter,Status_Code,Server_Response,Attack_Success_State
1,JWT,user_id,500,Network_Error,0
2,JWT,user_id,500,Network_Error,0
3,JWT,user_id,500,Network_Error,0
4,JWT,user_id,500,Network_Error,0
5,JWT,user_id,500,Network_Error,0
6,JWT,user_id,500,Network_Error,0
7,JWT,user_id,500,Network_Error,0
8,JWT,user_id,500,Network_Error,0
9,JWT,user_id,500,Network_Error,0
10,JWT,user_id,500,Network_Error,0
11,JWT,user_id,500,Network_Error,0
12,JWT,user_id,500,Network_Error,0
13,JWT,user_id,500,Network_Error,0
14,JWT,user_id,500,Network_Error,0
15,JWT,user_id,500,Network_Error,0
16,JWT,user_id,500,Network_Error,0
17,JWT,user_id,500,Network_Error,0
18,JWT,user_id,500,Network_Error,0
19,JWT,user_id,500,Network_Error,0
20,JWT,user_id,500,Network_Error,0
21,JWT,user_id,500,Network_Error,0
22,JWT,user_id,500,Network_Error,0
23,JWT,user_id,500,Network_Error,0
24,JWT,user_id,500,Network_Error,0
25,JWT,user_id,500,Network_Error,0
26,JWT,user_id,500,Network_Error,0
27,JWT,user_id,500,Network_Error,0
28,JWT,user_id,500,Network_Error,0
29,JWT,user_id,500,Network_Error,0
30,JWT,user_id,500,Network_Error,0
31,JWT,user_id,500,Network_Error,0
32,JWT,user_id,500,Network_Error,0
33,JWT,user_id,500,Network_Error,0
34,JWT,user_id,500,Network_Error,0
35,JWT,user_id,500,Network_Error,0
36,JWT,user_id,500,Network_Error,0
37,JWT,user_id,500,Network_Error,0
38,JWT,user_id,500,Network_Error,0
39,JWT,user_id,500,Network_Error,0
40,JWT,user_id,500,Network_Error,0
41,JWT,user_id,500,Network_Error,0
42,JWT,user_id,500,Network_Error,0
43,JWT,user_id,500,Network_Error,0
44,JWT,user_id,500,Network_Error,0
45,JWT,user_id,500,Network_Error,0
46,JWT,user_id,500,Network_Error,0
47,JWT,user_id,500,Network_Error,0
48,JWT,user_id,500,Network_Error,0
49,JWT,user_id,500,Network_Error,0
50,JWT,user_id,500,Network_Error,0
1,Groth16_zk-SNARK,user_id,500,Network_Error,0
2,Groth16_zk-SNARK,user_id,500,Network_Error,0
3,Groth16_zk-SNARK,user_id,500,Network_Error,0
4,Groth16_zk-SNARK,user_id,500,Network_Error,0
5,Groth16_zk-SNARK,user_id,500,Network_Error,0
6,Groth16_zk-SNARK,user_id,500,Network_Error,0
7,Groth16_zk-SNARK,user_id,500,Network_Error,0
8,Groth16_zk-SNARK,user_id,500,Network_Error,0
9,Groth16_zk-SNARK,user_id,500,Network_Error,0
10,Groth16_zk-SNARK,user_id,500,Network_Error,0
11,Groth16_zk-SNARK,user_id,500,Network_Error,0
12,Groth16_zk-SNARK,user_id,500,Network_Error,0
13,Groth16_zk-SNARK,user_id,500,Network_Error,0
14,Groth16_zk-SNARK,user_id,500,Network_Error,0
15,Groth16_zk-SNARK,user_id,500,Network_Error,0
16,Groth16_zk-SNARK,user_id,500,Network_Error,0
17,Groth16_zk-SNARK,user_id,500,Network_Error,0
18,Groth16_zk-SNARK,user_id,500,Network_Error,0
19,Groth16_zk-SNARK,user_id,500,Network_Error,0
20,Groth16_zk-SNARK,user_id,500,Network_Error,0
21,Groth16_zk-SNARK,user_id,500,Network_Error,0
22,Groth16_zk-SNARK,user_id,500,Network_Error,0
23,Groth16_zk-SNARK,user_id,500,Network_Error,0
24,Groth16_zk-SNARK,user_id,500,Network_Error,0
25,Groth16_zk-SNARK,user_id,500,Network_Error,0
26,Groth16_zk-SNARK,user_id,500,Network_Error,0
27,Groth16_zk-SNARK,user_id,500,Network_Error,0
28,Groth16_zk-SNARK,user_id,500,Network_Error,0
29,Groth16_zk-SNARK,user_id,500,Network_Error,0
30,Groth16_zk-SNARK,user_id,500,Network_Error,0
31,Groth16_zk-SNARK,user_id,500,Network_Error,0
32,Groth16_zk-SNARK,user_id,500,Network_Error,0
33,Groth16_zk-SNARK,user_id,500,Network_Error,0
34,Groth16_zk-SNARK,user_id,500,Network_Error,0
35,Groth16_zk-SNARK,user_id,500,Network_Error,0
36,Groth16_zk-SNARK,user_id,500,Network_Error,0
37,Groth16_zk-SNARK,user_id,500,Network_Error,0
38,Groth16_zk-SNARK,user_id,500,Network_Error,0
39,Groth16_zk-SNARK,user_id,500,Network_Error,0
40,Groth16_zk-SNARK,user_id,500,Network_Error,0
41,Groth16_zk-SNARK,user_id,500,Network_Error,0
42,Groth16_zk-SNARK,user_id,500,Network_Error,0
43,Groth16_zk-SNARK,user_id,500,Network_Error,0
44,Groth16_zk-SNARK,user_id,500,Network_Error,0
45,Groth16_zk-SNARK,user_id,500,Network_Error,0
46,Groth16_zk-SNARK,user_id,500,Network_Error,0
47,Groth16_zk-SNARK,user_id,500,Network_Error,0
48,Groth16_zk-SNARK,user_id,500,Network_Error,0
49,Groth16_zk-SNARK,user_id,500,Network_Error,0
50,Groth16_zk-SNARK,user_id,500,Network_Error,0
