Attempt,Method,Timestamp_Sent,Status_Code,Server_Response,Attack_Success_State
1,Groth16_zk-SNARK,1789791743032,500,Network_Error,0
2,Groth16_zk-SNARK,1789791743034,500,Network_Error,0
3,Groth16_zk-SNARK,1789791743035,500,Network_Error,0
4,Groth16_zk-SNARK,1789791743036,500,Network_Error,0
5,Groth16_zk-SNARK,1789791743038,500,Network_Error,0
6,Groth16_zk-SNARK,1789791743039,500,Network_Error,0
7,Groth16_zk-SNARK,1789791743041,500,Network_Error,0
8,Groth16_zk-SNARK,1789791743042,500,Network_Error,0
9,Groth16_zk-SNARK,1789791743043,500,Network_Error,0
10,Groth16_zk-SNARK,1789791743045,500,Network_Error,0
11,Groth16_zk-SNARK,1789791743046,500,Network_Error,0
12,Groth16_zk-SNARK,1789791743047,500,Network_Error,0
13,Groth16_zk-SNARK,1789791743049,500,Network_Error,0
14,Groth16_zk-SNARK,1789791743050,500,Network_Error,0
15,Groth16_zk-SNARK,1789791743052,500,Network_Error,0
16,Groth16_zk-SNARK,1789791743053,500,Network_Error,0
17,Groth16_zk-SNARK,1789791743054,500,Network_Error,0
18,Groth16_zk-SNARK,1789791743055,500,Network_Error,0
19,Groth16_zk-SNARK,1789791743056,500,Network_Error,0
20,Groth16_zk-SNARK,1789791743057,500,Network_Error,0
21,Groth16_zk-SNARK,1789791743058,500,Network_Error,0
22,Groth16_zk-SNARK,1789791743058,500,Network_Error,0
23,Groth16_zk-SNARK,1789791743060,500,Network_Error,0
24,Groth16_zk-SNARK,1789791743061,500,Network_Error,0
25,Groth16_zk-SNARK,1789791743062,500,Network_Error,0
26,Groth16_zk-SNARK,1789791743064,500,Network_Error,0
27,Groth16_zk-SNARK,1789791743065,500,Network_Error,0
28,Groth16_zk-SNARK,1789791743066,500,Network_Error,0
29,Groth16_zk-SNARK,1789791743067,500,Network_Error,0
30,Groth16_zk-SNARK,1789791743069,500,Network_Error,0
31,Groth16_zk-SNARK,1789791743070,500,Network_Error,0
32,Groth16_zk-SNARK,1789791743071,500,Network_Error,0
33,Groth16_zk-SNARK,1789791743072,500,Network_Error,0
34,Groth16_zk-SNARK,1789791743073,500,Network_Error,0
35,Groth16_zk-SNARK,1789791743074,500,Network_Error,0
36,Groth16_zk-SNARK,1789791743075,500,Network_Error,0
37,Groth16_zk-SNARK,1789791743075,500,Network_Error,0
38,Groth16_zk-SNARK,1789791743076,500,Network_Error,0
39,Groth16_zk-SNARK,1789791743077,500,Network_Error,0
40,Groth16_zk-SNARK,1789791743078,500,Network_Error,0
41,Groth16_zk-SNARK,1789791743079,500,Network_Error,0
42,Groth16_zk-SNARK,1789791743081,500,Network_Error,0
43,Groth16_zk-SNARK,1789791743082,500,Network_Error,0
44,Groth16_zk-SNARK,1789791743084,500,Network_Error,0
45,Groth16_zk-SNARK,1789791743085,500,Network_Error,0
46,Groth16_zk-SNARK,1789791743086,500,Network_Error,0
47,Groth16_zk-SNARK,1789791743087,500,Network_Error,0
48,Groth16_zk-SNARK,1789791743088,500,Network_Error,0
49,Groth16_zk-SNARK,1789791743088,500,Network_Error,0
50,Groth16_zk-SNARK,1789791743089,500,Network_Error,0
